id,comunidad,parroquia,parroquia_id,municipio,municipio_id
09010222870,SAN ROQUE,Capadare,2,Acosta,1
09010222871,SANTA CRUZ,Capadare,2,Acosta,1
09010222872,SANTA ROSA,Capadare,2,Acosta,1
09010222873,SILAGUIDE,Capadare,2,Acosta,1
09010222874,SUDADERO,Capadare,2,Acosta,1
09010222875,TARIKAKA ABAJO,Capadare,2,Acosta,1
09010222876,TARIKAKA ARRIBA,Capadare,2,Acosta,1
09010222877,TATICACA,Capadare,2,Acosta,1
09010222878,TERRAZAS DE SANTA CRUZ,Capadare,2,Acosta,1
09010222879,VIBORAL,Capadare,2,Acosta,1
09010222880,YARABACO,Capadare,2,Acosta,1
09010322881,AGÜIDE,La Pastora,3,Acosta,1
09010322882,APURITE,La Pastora,3,Acosta,1
09010322883,CAMBURAL,La Pastora,3,Acosta,1
09010322884,CAYUDE ABAJO,La Pastora,3,Acosta,1
09010322885,CIGARRON,La Pastora,3,Acosta,1
09010322886,CRUZ DE LAJA,La Pastora,3,Acosta,1
09010322887,DON DIEGO,La Pastora,3,Acosta,1
09010322888,EL CANTON,La Pastora,3,Acosta,1
09010322889,EL CARMEN,La Pastora,3,Acosta,1
09010322890,EL CAUJARO,La Pastora,3,Acosta,1
09010322891,EL CAYUDE,La Pastora,3,Acosta,1
09010322892,EL CORREO,La Pastora,3,Acosta,1
09010322893,EL HICACAL,La Pastora,3,Acosta,1
09010322894,EL PAVON,La Pastora,3,Acosta,1
09010322895,EL PERICO,La Pastora,3,Acosta,1
09010322896,EL PILANCON,La Pastora,3,Acosta,1
09010322897,HICACALES,La Pastora,3,Acosta,1
09010322898,LA BAJURA,La Pastora,3,Acosta,1
09010322899,LA CARIDAD,La Pastora,3,Acosta,1
09010322900,LA CIENAGA,La Pastora,3,Acosta,1
09010322901,LA CIENEGA,La Pastora,3,Acosta,1
09010322902,LA CUCHILLA,La Pastora,3,Acosta,1
09010322903,LA FELICIDAD,La Pastora,3,Acosta,1
09010322904,LA PEREGRINA,La Pastora,3,Acosta,1
09010322905,LA PLAYITA,La Pastora,3,Acosta,1
09010322906,LA UNION,La Pastora,3,Acosta,1
09010322907,LA VIGIA,La Pastora,3,Acosta,1
09010322908,LAS CAÑADAS,La Pastora,3,Acosta,1
09010322909,LAS LOMITAS,La Pastora,3,Acosta,1
09010322910,LOS COLORADOS,La Pastora,3,Acosta,1
09010322911,LOS DOS SOLDADOS,La Pastora,3,Acosta,1
09010322912,LOS PILANCONES,La Pastora,3,Acosta,1
09010322913,MUCURIA,La Pastora,3,Acosta,1
09010322914,SANTA ANA,La Pastora,3,Acosta,1
09010322915,SANTA FE,La Pastora,3,Acosta,1
09010322916,TAPARITO,La Pastora,3,Acosta,1
09010322917,VIENTO SUAVE,La Pastora,3,Acosta,1
09010422918,CAMPECHE,Libertador,4,Acosta,1
09010422919,EL MENE,Libertador,4,Acosta,1
09010422920,EL MENE DE SAN LORENZO,Libertador,4,Acosta,1
09010422921,TACARIGUA,Libertador,4,Acosta,1
09010481290,BOCA DE TOCUYO,Libertador,4,Acosta,1
09020122922,CABECERA,San Luis,1,Bolívar,2
09020122923,CATALINA,San Luis,1,Bolívar,2
09020122924,CHE GUEVARA,San Luis,1,Bolívar,2
09020122925,CHIMBORAZO,San Luis,1,Bolívar,2
09020122926,COMUNA CARIAGUA,San Luis,1,Bolívar,2
09020122927,CONOPIA,San Luis,1,Bolívar,2
09020122928,EL DESENGAÑO,San Luis,1,Bolívar,2
09020122929,EL MOLINO,San Luis,1,Bolívar,2
09020122930,EL OLIVO,San Luis,1,Bolívar,2
09020122931,EL PICURE,San Luis,1,Bolívar,2
09020122932,EL TIGRE,San Luis,1,Bolívar,2
09020122933,ELIGIO DUNO,San Luis,1,Bolívar,2
09020122934,LA CIENEGA,San Luis,1,Bolívar,2
09020122935,LA COIBA,San Luis,1,Bolívar,2
09020122936,LA ENCRUCIJADA,San Luis,1,Bolívar,2
09020122937,LA ENCRUCIJADA SECTOR LA VEGA,San Luis,1,Bolívar,2
09020122938,LA MESETA,San Luis,1,Bolívar,2
09020122939,LA QUINTA,San Luis,1,Bolívar,2
09020122940,LA REDOMA,San Luis,1,Bolívar,2
09020122941,LA SABANITA,San Luis,1,Bolívar,2
09020122942,LAS CASITAS,San Luis,1,Bolívar,2
09020122943,LAS GUARABITAS,San Luis,1,Bolívar,2
09020122944,LOS OLIVOS,San Luis,1,Bolívar,2
09020122945,MACUARE,San Luis,1,Bolívar,2
09020122946,MACUCA,San Luis,1,Bolívar,2
09020122947,MARIA GAMBOA,San Luis,1,Bolívar,2
09020122948,MITARE,San Luis,1,Bolívar,2
09020122949,PADRE HAVAS,San Luis,1,Bolívar,2
09020122950,PALO PINTADO,San Luis,1,Bolívar,2
09020122951,PALO PINTADO SECTOR LA VEGA,San Luis,1,Bolívar,2
09020122952,PASEO DE LA VIRGEN,San Luis,1,Bolívar,2
09020122953,PEREGUEY,San Luis,1,Bolívar,2
09020122954,PIEDRA AGUA,San Luis,1,Bolívar,2
09020122955,PUEBLO ESCONDIDO,San Luis,1,Bolívar,2
09020122956,QUITARAGUA,San Luis,1,Bolívar,2
09020122957,RAMON JURI,San Luis,1,Bolívar,2
09020122958,REPRESA DE FARO,San Luis,1,Bolívar,2
09020122959,SALVADOR ALLENDE,San Luis,1,Bolívar,2
09020122960,SAN LUIS,San Luis,1,Bolívar,2
09020122961,SAN LUIS ABAJO,San Luis,1,Bolívar,2
09020122962,SAN LUIS ARRIBA,San Luis,1,Bolívar,2
09020122963,SAN LUIS CASCO CENTRAL,San Luis,1,Bolívar,2
09020122964,SANTA ROSA,San Luis,1,Bolívar,2
09020122965,TOMASA SILVA,San Luis,1,Bolívar,2
09020122966,VALLE ENCANTADO,San Luis,1,Bolívar,2
09020122967,VIA LAS MAZAS,San Luis,1,Bolívar,2
09020122968,ZAZARIDA,San Luis,1,Bolívar,2
09020181079,PUEBLO APARTE,San Luis,1,Bolívar,2
09020181291,SABANA GRANDE,San Luis,1,Bolívar,2
09020222969,ARACUA CASCO CENTRAL,Aracua,2,Bolívar,2
09020222970,ARAGUA,Aracua,2,Bolívar,2
09020222971,CIUDAD FLAMINGO,Aracua,2,Bolívar,2
09020222972,LA COROMOTO,Aracua,2,Bolívar,2
09020222973,LA GOYA,Aracua,2,Bolívar,2
09020222974,LA LOMA,Aracua,2,Bolívar,2
09020222975,LA LOMA CASCO CENTRAL,Aracua,2,Bolívar,2
09020222976,LAS BRISAS DE LARA,Aracua,2,Bolívar,2
09020222977,LAS CASIMBAS,Aracua,2,Bolívar,2
09020222978,LAS CASITAS,Aracua,2,Bolívar,2
09020222979,LAS CASTAÑAS CASCO CENTRAL,Aracua,2,Bolívar,2
09020222980,LAS CRUCECITAS,Aracua,2,Bolívar,2
09020222981,LAS GUARABITAS,Aracua,2,Bolívar,2
09020222982,REPELON,Aracua,2,Bolívar,2
09020222983,ROGARCE,Aracua,2,Bolívar,2
09020222984,SABANA DE MALDONADO,Aracua,2,Bolívar,2
09020222985,SANTA FE DE CAMPO SOLO,Aracua,2,Bolívar,2
09020222986,SUBE Y BAJA,Aracua,2,Bolívar,2
09020280853,ARACUA,Aracua,2,Bolívar,2
09020322987,BARRIO NUEVO,La Peña,3,Bolívar,2
09020322988,CARRIZALITO,La Peña,3,Bolívar,2
09020322989,CUCAIDE,La Peña,3,Bolívar,2
09020322990,DO SANTO,La Peña,3,Bolívar,2
09020322991,EL GUAPO,La Peña,3,Bolívar,2
09020322992,EL GUAY,La Peña,3,Bolívar,2
09020322993,EL LICEO,La Peña,3,Bolívar,2
09020322994,EL MAMON,La Peña,3,Bolívar,2
09020322995,EL SILENCIO,La Peña,3,Bolívar,2
09020322996,EVANATO JIMENEZ CASCO CENTRAL,La Peña,3,Bolívar,2
09020322997,EVORIA JIMENEZ CASCO CENTRAL,La Peña,3,Bolívar,2
09020322998,FRANCISQUILLO,La Peña,3,Bolívar,2
09020322999,FRANCISQUITO,La Peña,3,Bolívar,2
09020323000,GUAY,La Peña,3,Bolívar,2
09020323001,GUAY ABAJO,La Peña,3,Bolívar,2
09020323002,LA CIENEGA,La Peña,3,Bolívar,2
09020323003,LA GUARABITA DE ARAUCA,La Peña,3,Bolívar,2
09020323004,LA PEÑA,La Peña,3,Bolívar,2
09020323005,LA TABLA,La Peña,3,Bolívar,2
09020323006,LOS PARAGUANEROS,La Peña,3,Bolívar,2
09020323007,PIEDRA PREÑADA,La Peña,3,Bolívar,2
09020323008,QUEGUEY,La Peña,3,Bolívar,2
09020323009,SAN LORENZO,La Peña,3,Bolívar,2
09020323010,SOCOPO,La Peña,3,Bolívar,2
09020323011,URUCURE,La Peña,3,Bolívar,2
09030123012,23 DE ENERO,Capatárida,1,Buchivacoa,3
09030123013,AVIAGUA,Capatárida,1,Buchivacoa,3
09030123014,BARRANCA,Capatárida,1,Buchivacoa,3
09030123015,BARRIO NORTE,Capatárida,1,Buchivacoa,3
09030123016,BARRIO NUEVO,Capatárida,1,Buchivacoa,3
09030123017,BARRIO NUEVO CENTRO,Capatárida,1,Buchivacoa,3
09030123018,BARUCHE,Capatárida,1,Buchivacoa,3
09030123019,BUCHIVACOA,Capatárida,1,Buchivacoa,3
09030123020,CAMPO LINDO,Capatárida,1,Buchivacoa,3
09030123021,CAÑO BLANCO,Capatárida,1,Buchivacoa,3
09030123022,CAPATARIDA CASCO CENTRAL,Capatárida,1,Buchivacoa,3
09030123023,CARAMABURE,Capatárida,1,Buchivacoa,3
09030123024,CATALAN,Capatárida,1,Buchivacoa,3
09030123025,CENTRO,Capatárida,1,Buchivacoa,3
09030123026,CHIMPIRE,Capatárida,1,Buchivacoa,3
09030123027,CHIRIGUARE,Capatárida,1,Buchivacoa,3
09030123028,COGOLLAL,Capatárida,1,Buchivacoa,3
09030123029,COROQUIDIRO,Capatárida,1,Buchivacoa,3
09030123030,COROZAL,Capatárida,1,Buchivacoa,3
09030123031,CORRALITO,Capatárida,1,Buchivacoa,3
09030123032,CURUQUEBO,Capatárida,1,Buchivacoa,3
09030123033,DARA,Capatárida,1,Buchivacoa,3
09030123034,EL AMPARO,Capatárida,1,Buchivacoa,3
09030123035,EL COCUY,Capatárida,1,Buchivacoa,3
09030123036,EL GUAY,Capatárida,1,Buchivacoa,3
09030123037,EL HATICO,Capatárida,1,Buchivacoa,3
09030123038,EL LAGUNERO,Capatárida,1,Buchivacoa,3
09030123039,EL LIMON,Capatárida,1,Buchivacoa,3
09030123040,EL LLANITO,Capatárida,1,Buchivacoa,3
09030123041,EL MENE,Capatárida,1,Buchivacoa,3
09030123042,EL MORRO,Capatárida,1,Buchivacoa,3
09030123043,EL PLACER,Capatárida,1,Buchivacoa,3
09030123044,EL RECORTE,Capatárida,1,Buchivacoa,3
09030123045,EL RINCON,Capatárida,1,Buchivacoa,3
09030123046,EL ROBLE,Capatárida,1,Buchivacoa,3
09030123047,EL SILENCIO,Capatárida,1,Buchivacoa,3
09030123048,EL TUQUE,Capatárida,1,Buchivacoa,3
09030123049,GEVIRE,Capatárida,1,Buchivacoa,3
09030123050,GUASICA,Capatárida,1,Buchivacoa,3
09030123051,GUAYACAN,Capatárida,1,Buchivacoa,3
09030123052,HONDO DE LOPEZ,Capatárida,1,Buchivacoa,3
09030123053,JABILLAL,Capatárida,1,Buchivacoa,3
09030123054,JEDEBO,Capatárida,1,Buchivacoa,3
09030123055,JESUS AÑEZ,Capatárida,1,Buchivacoa,3
09030123056,LA CIENAGA,Capatárida,1,Buchivacoa,3
09030123057,LA CRUZ,Capatárida,1,Buchivacoa,3
09030123058,LA CUESTA,Capatárida,1,Buchivacoa,3
09030123059,LA LOMA,Capatárida,1,Buchivacoa,3
09030123060,LA PEÑA,Capatárida,1,Buchivacoa,3
09030123061,LA PEÑA DE LA VIRGEN,Capatárida,1,Buchivacoa,3
09030123062,LA PLANCHADA,Capatárida,1,Buchivacoa,3
09030123063,LA PLAYA,Capatárida,1,Buchivacoa,3
09030123064,LA QUEBRADA,Capatárida,1,Buchivacoa,3
09030123065,LA QUIETUD,Capatárida,1,Buchivacoa,3
09030123066,LAGUNERO,Capatárida,1,Buchivacoa,3
09030123067,LAS CASITAS,Capatárida,1,Buchivacoa,3
09030123068,LAS DARAS,Capatárida,1,Buchivacoa,3
09030123069,LAS HUERTAS AFUERA,Capatárida,1,Buchivacoa,3
09030123070,LAS PALMIRAS,Capatárida,1,Buchivacoa,3
09030123071,LAS PALOMAS,Capatárida,1,Buchivacoa,3
09030123072,LAS PAMPAS,Capatárida,1,Buchivacoa,3
09030123073,LAS PARCELAS,Capatárida,1,Buchivacoa,3
09030123074,LAS TRES PERSONAS,Capatárida,1,Buchivacoa,3
09030123075,LAS VIRTUDES,Capatárida,1,Buchivacoa,3
09030123076,LOS CANITOS,Capatárida,1,Buchivacoa,3
09030123077,LOS CERRITOS,Capatárida,1,Buchivacoa,3
09030123078,LOS CHUCOS,Capatárida,1,Buchivacoa,3
09030123079,LOS HATOS,Capatárida,1,Buchivacoa,3
09030123080,LOS MAMONALES,Capatárida,1,Buchivacoa,3
09030123081,LOS RANCHOS,Capatárida,1,Buchivacoa,3
09030123082,LOS TURISTAS,Capatárida,1,Buchivacoa,3
09030123083,MACAURAMA,Capatárida,1,Buchivacoa,3
09030123084,MARIA INMACULADA,Capatárida,1,Buchivacoa,3
09030123085,MAZUCA,Capatárida,1,Buchivacoa,3
09030123086,MILENIO,Capatárida,1,Buchivacoa,3
09030123087,MIRAMAR,Capatárida,1,Buchivacoa,3
09030123088,MIRAMAR SECTOR CENTRO,Capatárida,1,Buchivacoa,3
09030123089,MORROCO,Capatárida,1,Buchivacoa,3
09030123090,NAZARETH,Capatárida,1,Buchivacoa,3
09030123091,NORTE,Capatárida,1,Buchivacoa,3
09030123092,OROCODONES,Capatárida,1,Buchivacoa,3
09030123093,PANZACOLA,Capatárida,1,Buchivacoa,3
09030123094,PIE DEL CERRO,Capatárida,1,Buchivacoa,3
09030123095,PUEBLO VIEJO,Capatárida,1,Buchivacoa,3
09030123096,PUERTO GUTIERREZ,Capatárida,1,Buchivacoa,3
09030123097,PURE,Capatárida,1,Buchivacoa,3
09030123098,PURE ADENTRO,Capatárida,1,Buchivacoa,3
09030123099,PURE AFUERA,Capatárida,1,Buchivacoa,3
09030123100,QUIGUA,Capatárida,1,Buchivacoa,3
09030123101,QUITARE,Capatárida,1,Buchivacoa,3
09030123102,RICOA,Capatárida,1,Buchivacoa,3
09030123103,RICOA AFUERA,Capatárida,1,Buchivacoa,3
09030123104,SAN CRISTOBAL,Capatárida,1,Buchivacoa,3
09030123105,SAN NICOLAS,Capatárida,1,Buchivacoa,3
09030123106,SAN NICOLAS DE QUIBURE,Capatárida,1,Buchivacoa,3
09030123107,SAN PEDRO,Capatárida,1,Buchivacoa,3
09030123108,SAN RAFAEL,Capatárida,1,Buchivacoa,3
09030123109,SANTA ANA,Capatárida,1,Buchivacoa,3
09030123110,SANTA CRUZ,Capatárida,1,Buchivacoa,3
09030123111,SANTA FE,Capatárida,1,Buchivacoa,3
09030123112,SANTA MARIA,Capatárida,1,Buchivacoa,3
09030123113,SANTA MARTA,Capatárida,1,Buchivacoa,3
09030123114,SANTA ROSA,Capatárida,1,Buchivacoa,3
09030123115,SANTO DOMINGO,Capatárida,1,Buchivacoa,3
09030123116,SIVIDIGUA,Capatárida,1,Buchivacoa,3
09030123117,TARANA,Capatárida,1,Buchivacoa,3
09030123118,TIERRA SANTA,Capatárida,1,Buchivacoa,3
09030123119,TORTOLICA,Capatárida,1,Buchivacoa,3
09030123120,TUCUA,Capatárida,1,Buchivacoa,3
09030123121,TURPIAL,Capatárida,1,Buchivacoa,3
09030123122,VALLE DE EROA,Capatárida,1,Buchivacoa,3
09030123123,VERA CRUZ,Capatárida,1,Buchivacoa,3
09030123124,ZAMURITO,Capatárida,1,Buchivacoa,3
09030123125,ZAZARIDA,Capatárida,1,Buchivacoa,3
09030180854,CAPATARIDA,Capatárida,1,Buchivacoa,3
09030181292,CHIPORORO,Capatárida,1,Buchivacoa,3
09030223126,ARROYO HONDO,Borojó,2,Buchivacoa,3
09030223127,BOROJO,Borojó,2,Buchivacoa,3
09030223128,CALABROTE,Borojó,2,Buchivacoa,3
09030223129,CALADO,Borojó,2,Buchivacoa,3
09030223130,CAMARIRO,Borojó,2,Buchivacoa,3
09030223131,CAMPO AMOR,Borojó,2,Buchivacoa,3
09030223132,CAMPO TIGUAJE,Borojó,2,Buchivacoa,3
09030223133,CANAPE,Borojó,2,Buchivacoa,3
09030223134,CANAPO,Borojó,2,Buchivacoa,3
09030223135,CARACUBANA,Borojó,2,Buchivacoa,3
09030223136,CENTRO,Borojó,2,Buchivacoa,3
09030223137,CHIRIGUARE,Borojó,2,Buchivacoa,3
09030223138,EL BOSUGO,Borojó,2,Buchivacoa,3
09030223139,EL CALADO,Borojó,2,Buchivacoa,3
09030223140,EL CALLAO,Borojó,2,Buchivacoa,3
09030223141,EL CANEPE,Borojó,2,Buchivacoa,3
09030223142,EL DISPENSARIO,Borojó,2,Buchivacoa,3
09030223143,EL GUAYABO,Borojó,2,Buchivacoa,3
09030223144,EL MILAGRO,Borojó,2,Buchivacoa,3
09030223145,EL MILAGRO NORTE,Borojó,2,Buchivacoa,3
09030223146,EL PLAYON,Borojó,2,Buchivacoa,3
09030223147,EL ROSADO,Borojó,2,Buchivacoa,3
09030223148,EL YABITO,Borojó,2,Buchivacoa,3
09030223149,FRUTAS AMARILLAS,Borojó,2,Buchivacoa,3
09030223150,JUNCALITO,Borojó,2,Buchivacoa,3
09030223151,LAS MERCEDES,Borojó,2,Buchivacoa,3
09030223152,LAS MURALLAS,Borojó,2,Buchivacoa,3
09030223153,LAS PALMAS,Borojó,2,Buchivacoa,3
09030223154,LLANO DE MATO,Borojó,2,Buchivacoa,3
09030223155,LOS HATICOS,Borojó,2,Buchivacoa,3
09030223156,NORTE,Borojó,2,Buchivacoa,3
09030223157,PAUJI SAL,Borojó,2,Buchivacoa,3
09030223158,SAN CLEMENTE,Borojó,2,Buchivacoa,3
09030223159,SAN JOSE ABAJO,Borojó,2,Buchivacoa,3
09030223160,SAN RAFAEL,Borojó,2,Buchivacoa,3
09030223161,SANTA MARIA,Borojó,2,Buchivacoa,3
09030223162,SUPIDEBO,Borojó,2,Buchivacoa,3
09030223163,TIERRA TINTA,Borojó,2,Buchivacoa,3
09030223164,TOTUMO,Borojó,2,Buchivacoa,3
09030223165,VIDARE,Borojó,2,Buchivacoa,3
09030223166,VILLA RAFAEL JOSE AÑEZ PEREZ,Borojó,2,Buchivacoa,3
09030223167,YUQUIQUE,Borojó,2,Buchivacoa,3
09030323168,ARENAL,Seque,3,Buchivacoa,3
09030323169,BARRO NEGRO,Seque,3,Buchivacoa,3
09030323170,BIJAGUITA,Seque,3,Buchivacoa,3
09030323171,BOLIVAR,Seque,3,Buchivacoa,3
09030323172,CABEZA DE TORO,Seque,3,Buchivacoa,3
09030323173,CAÑADA OSCURA,Seque,3,Buchivacoa,3
09030323174,CAPATARIDA,Seque,3,Buchivacoa,3
09030323175,CHIMARE,Seque,3,Buchivacoa,3
09030323176,EL CAIMITO,Seque,3,Buchivacoa,3
09030323177,EL CALVARIO,Seque,3,Buchivacoa,3
09030323178,EL CARDONALITO,Seque,3,Buchivacoa,3
09030323179,EL COPEY,Seque,3,Buchivacoa,3
09030323180,EL CUJISOTE,Seque,3,Buchivacoa,3
09030323181,EL DERRAMADERO,Seque,3,Buchivacoa,3
09030323182,EL NOVENTA Y CUATRO,Seque,3,Buchivacoa,3
09030323183,EL NOVENTA Y UNO,Seque,3,Buchivacoa,3
09030323184,EL OLIVO,Seque,3,Buchivacoa,3
09030323185,EL PICADO,Seque,3,Buchivacoa,3
09030323186,EL VALLITO,Seque,3,Buchivacoa,3
09030323187,LA JABILLA ADENTRO,Seque,3,Buchivacoa,3
09030323188,LA JABILLA AFUERA,Seque,3,Buchivacoa,3
09030323189,LA MARIPOSA,Seque,3,Buchivacoa,3
09030323190,LAS CABRERAS,Seque,3,Buchivacoa,3
09030323191,LAS COCUIZAS,Seque,3,Buchivacoa,3
09030323192,LAS MALVITAS,Seque,3,Buchivacoa,3
09030323193,LOS HATOS,Seque,3,Buchivacoa,3
09030323194,LOS JABILLOS,Seque,3,Buchivacoa,3
09030323195,MARIGUA,Seque,3,Buchivacoa,3
09030323196,MAYARE,Seque,3,Buchivacoa,3
09030323197,MONTAÑA DE CHIMARE,Seque,3,Buchivacoa,3
09030323198,PLAN BONITO,Seque,3,Buchivacoa,3
09030323199,PLATANAL,Seque,3,Buchivacoa,3
09030323200,PUNTO NUEVO,Seque,3,Buchivacoa,3
09030323201,PURE,Seque,3,Buchivacoa,3
09030323202,QUIRIRE,Seque,3,Buchivacoa,3
09030323203,RANCHO BARRO,Seque,3,Buchivacoa,3
09030323204,RINCONCITO,Seque,3,Buchivacoa,3
09030323205,SAN ANTONIO,Seque,3,Buchivacoa,3
09030323206,SAN ISIDRO,Seque,3,Buchivacoa,3
09030323207,SAN JOSE DE SEQUE,Seque,3,Buchivacoa,3
09030323208,SAN PEDRO,Seque,3,Buchivacoa,3
09030323209,SANTA CRUZ,Seque,3,Buchivacoa,3
09030323210,SANTA CRUZ DE YOSE,Seque,3,Buchivacoa,3
09030323211,TAPARITO,Seque,3,Buchivacoa,3
09030323212,TIERRA COLORADA,Seque,3,Buchivacoa,3
09030323213,TIGUAJE,Seque,3,Buchivacoa,3
09030323214,VACOA,Seque,3,Buchivacoa,3
09030323215,VIJAGUITA,Seque,3,Buchivacoa,3
09030423216,AURICIA,Zazárida,4,Buchivacoa,3
09030423217,BARRIO NUEVO,Zazárida,4,Buchivacoa,3
09030423218,BACILIO CEDEÑO,Zazárida,4,Buchivacoa,3
09030423219,BOROBUNA,Zazárida,4,Buchivacoa,3
09030423220,CABURITO,Zazárida,4,Buchivacoa,3
09030423221,CAMPO ALEGRE,Zazárida,4,Buchivacoa,3
09030423222,CAMPO NUEVO,Zazárida,4,Buchivacoa,3
09030423223,CAÑO BLANCO,Zazárida,4,Buchivacoa,3
09030423224,CERRO DE TARATARA,Zazárida,4,Buchivacoa,3
09030423225,COLOMBIA NORTE,Zazárida,4,Buchivacoa,3
09030423226,COLOMBIA SUR,Zazárida,4,Buchivacoa,3
09030423227,COROZAL,Zazárida,4,Buchivacoa,3
09030423228,CRISTO REY,Zazárida,4,Buchivacoa,3
09030423229,CUAJARACUME,Zazárida,4,Buchivacoa,3
09030423230,CURUQUEBO,Zazárida,4,Buchivacoa,3
09030423231,CURUQUIDES,Zazárida,4,Buchivacoa,3
09030423232,EL ALAMBRE,Zazárida,4,Buchivacoa,3
09030423233,EL ALAZANO,Zazárida,4,Buchivacoa,3
09030423234,EL CASINO,Zazárida,4,Buchivacoa,3
09030423235,EL CHUCO,Zazárida,4,Buchivacoa,3
09030423236,EL LIMON,Zazárida,4,Buchivacoa,3
09030423237,EL LLANITO,Zazárida,4,Buchivacoa,3
09030423238,EL MILAGRO,Zazárida,4,Buchivacoa,3
09030423239,EL MUELLE,Zazárida,4,Buchivacoa,3
09030423240,EL PASO,Zazárida,4,Buchivacoa,3
09030423241,EL POTRERO,Zazárida,4,Buchivacoa,3
09030423242,EL RINCON,Zazárida,4,Buchivacoa,3
09030423243,EL SALADILLO,Zazárida,4,Buchivacoa,3
09030423244,EL SOCORRO,Zazárida,4,Buchivacoa,3
09030423245,EL YABO,Zazárida,4,Buchivacoa,3
09030423246,EROITA,Zazárida,4,Buchivacoa,3
09030423247,GARCIA,Zazárida,4,Buchivacoa,3
09030423248,GUERE,Zazárida,4,Buchivacoa,3
09030423249,JAJATO,Zazárida,4,Buchivacoa,3
09030423250,JUCAIRA,Zazárida,4,Buchivacoa,3
09030423251,LA BOCA,Zazárida,4,Buchivacoa,3
09030423252,LA CANDELA,Zazárida,4,Buchivacoa,3
09030423253,LA CONCEPCION,Zazárida,4,Buchivacoa,3
09030423254,LA CUESTA,Zazárida,4,Buchivacoa,3
